The power Details of router and TSV links ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
 at 4000,,,,,,,,,,,,,,,,,,,,,,,
 at 7000,,,,,,,,,,,,,,,,,,,,,,,
 ,7000,,,,,,,,,,,,,,,,,,,,,,
Router-0,0.0267068+0.000552823+0.000848877,0.0281085,,,,,,,,,,,,,,,,,,,,,
Router-1,0.0267068+0.000754807+0.000848878,0.0283105,,,,,,,,,,,,,,,,,,,,,
Router-2,0.0267068+0.000749657+0.000848878,0.0283054,,,,,,,,,,,,,,,,,,,,,
Router-3,0.0267068+0.000546821+0.000848877,0.0281025,,,,,,,,,,,,,,,,,,,,,
Router-4,0.0267068+0.000760505+0.00141479,0.0288821,,,,,,,,,,,,,,,,,,,,,
Router-5,0.0267068+0.000673885+0.00141479,0.0287955,,,,,,,,,,,,,,,,,,,,,
Router-6,0.0267068+0.000697942+0.00141479,0.0288196,,,,,,,,,,,,,,,,,,,,,
Router-7,0.0267068+0.000861517+0.00141479,0.0289831,,,,,,,,,,,,,,,,,,,,,
Router-8,0.0267068+0.000673821+0.00141479,0.0287954,,,,,,,,,,,,,,,,,,,,,
Router-9,0.0267068+0.00068062+0.00141479,0.0288022,,,,,,,,,,,,,,,,,,,,,
Router-10,0.0267068+0.000776998+0.00141479,0.0288986,,,,,,,,,,,,,,,,,,,,,
Router-11,0.0267068+0.000676549+0.00141479,0.0287982,,,,,,,,,,,,,,,,,,,,,
Router-12,0.0267068+0.000398462+0.00141479,0.0285201,,,,,,,,,,,,,,,,,,,,,
Router-13,0.0267068+0.000420474+0.00141479,0.0285421,,,,,,,,,,,,,,,,,,,,,
Router-14,0.0267068+0.000499324+0.00141479,0.0286209,,,,,,,,,,,,,,,,,,,,,
Router-15,0.0267068+0.000377918+0.00141479,0.0284995,,,,,,,,,,,,,,,,,,,,,
Router-16,0.0267068+0.000458003+0.00141479,0.0285796,,,,,,,,,,,,,,,,,,,,,
Router-17,0.0267068+0.000455002+0.00141479,0.0285766,,,,,,,,,,,,,,,,,,,,,
Router-18,0.0267068+0.000398972+0.00141479,0.0285206,,,,,,,,,,,,,,,,,,,,,
Router-19,0.0267068+0.000375986+0.00141479,0.0284976,,,,,,,,,,,,,,,,,,,,,
Router-20,0.0267068+0.000418767+0.00141479,0.0285404,,,,,,,,,,,,,,,,,,,,,
Router-21,0.0267068+0.000442519+0.00141479,0.0285641,,,,,,,,,,,,,,,,,,,,,
Router-22,0.0267068+0.000350047+0.00141479,0.0284717,,,,,,,,,,,,,,,,,,,,,
Router-23,0.0267068+0.000368045+0.00141479,0.0284897,,,,,,,,,,,,,,,,,,,,,
Router-24,0.0267068+0.000376481+0.00141479,0.0284981,,,,,,,,,,,,,,,,,,,,,
Router-25,0.0267068+0.000409524+0.00141479,0.0285311,,,,,,,,,,,,,,,,,,,,,
Router-26,0.0267068+0.000490423+0.00141479,0.028612,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Internal Reports:,,,,,,,,,,,,,,,,,,,,,,,
Total Number of Detected Flits:		8747 ( Header: 1752 ),,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
 at 8000,,,,,,,,,,,,,,,,,,,,,,,
 ,8000,,,,,,,,,,,,,,,,,,,,,,
Router-0,0.0267068+0.000592102+0.000848877,0.0281478,,,,,,,,,,,,,,,,,,,,,
Router-1,0.0267068+0.000739898+0.000848878,0.0282956,,,,,,,,,,,,,,,,,,,,,
Router-2,0.0267068+0.00074202+0.000848878,0.0282977,,,,,,,,,,,,,,,,,,,,,
Router-3,0.0267068+0.000582191+0.000848877,0.0281379,,,,,,,,,,,,,,,,,,,,,
Router-4,0.0267068+0.00076783+0.00141479,0.0288894,,,,,,,,,,,,,,,,,,,,,
Router-5,0.0267068+0.000742124+0.00141479,0.0288637,,,,,,,,,,,,,,,,,,,,,
Router-6,0.0267068+0.000738114+0.00141479,0.0288597,,,,,,,,,,,,,,,,,,,,,
Router-7,0.0267068+0.000848785+0.00141479,0.0289704,,,,,,,,,,,,,,,,,,,,,
Router-8,0.0267068+0.000702243+0.00141479,0.0288239,,,,,,,,,,,,,,,,,,,,,
Router-9,0.0267068+0.000695537+0.00141479,0.0288172,,,,,,,,,,,,,,,,,,,,,
Router-10,0.0267068+0.000785422+0.00141479,0.028907,,,,,,,,,,,,,,,,,,,,,
Router-11,0.0267068+0.000693474+0.00141479,0.0288151,,,,,,,,,,,,,,,,,,,,,
Router-12,0.0267068+0.000414748+0.00141479,0.0285364,,,,,,,,,,,,,,,,,,,,,
Router-13,0.0267068+0.000455421+0.00141479,0.028577,,,,,,,,,,,,,,,,,,,,,
Router-14,0.0267068+0.000496396+0.00141479,0.028618,,,,,,,,,,,,,,,,,,,,,
Router-15,0.0267068+0.000396744+0.00141479,0.0285184,,,,,,,,,,,,,,,,,,,,,
