The power Details of router and TSV links ,,,
,,,
	 ,,,
 	 at 4000,,,
  	 ,,,
power time ,,,
Router-20,0.0267068+0.00454569+0.0014148,0.0326673,32.6673
Router-21,0.0267068+0.00468561+0.0014148,0.0328072,32.8072
Router-22,0.0267068+0.00450815+0.0014148,0.0326298,32.6298
Router-23,0.0267068+0.00454953+0.0014148,0.0326712,32.6712
Router-24,0.0267068+0.0047621+0.0014148,0.0328837,32.8837
Router-25,0.0267068+0.00454741+0.0014148,0.032669,32.669
Router-26,0.0267068+0.00451133+0.0014148,0.032633,32.633
,,,0
Internal Reports:,,,0
Total Number of Detected Flits:		55399 ( Header: 11081 ),,,0
,,,0
	 ,,,0
 	 at 6000,,,0
  	 ,,,0
power time ,,,0
,6000,,0
Router-0,0.0267068+0.00488082+0.000848893,0.0324365,32.4365
Router-1,0.0267068+0.0051242+0.000848895,0.0326799,32.6799
Router-2,0.0267068+0.00511074+0.000848895,0.0326665,32.6665
Router-3,0.0267068+0.0048687+0.000848893,0.0324244,32.4244
Router-4,0.0267068+0.00599375+0.00141481,0.0341154,34.1154
Router-5,0.0267068+0.00560697+0.00141481,0.0337286,33.7286
Router-6,0.0267068+0.00509966+0.00141481,0.0332213,33.2213
Router-7,0.0267068+0.00600882+0.00141481,0.0341304,34.1304
Router-8,0.0267068+0.005856+0.00141481,0.0339776,33.9776
Router-9,0.0267068+0.00531519+0.00141481,0.0334368,33.4368
Router-10,0.0267068+0.00557743+0.00141481,0.0336991,33.6991
Router-11,0.0267068+0.00558492+0.00141481,0.0337066,33.7066
Router-12,0.0267068+0.00333808+0.0014148,0.0314597,31.4597
Router-13,0.0267068+0.00311673+0.0014148,0.0312384,31.2384
Router-14,0.0267068+0.00343186+0.0014148,0.0315535,31.5535
Router-15,0.0267068+0.00352812+0.0014148,0.0316497,31.6497
Router-16,0.0267068+0.00334571+0.0014148,0.0314673,31.4673
Router-17,0.0267068+0.00280635+0.0014148,0.030928,30.928
Router-18,0.0267068+0.00341677+0.0014148,0.0315384,31.5384
Router-19,0.0267068+0.00312632+0.0014148,0.0312479,31.2479
Router-20,0.0267068+0.00319846+0.0014148,0.0313201,31.3201
Router-21,0.0267068+0.00329931+0.0014148,0.0314209,31.4209
Router-22,0.0267068+0.00313378+0.0014148,0.0312554,31.2554
Router-23,0.0267068+0.00317879+0.0014148,0.0313004,31.3004
Router-24,0.0267068+0.00330077+0.0014148,0.0314224,31.4224
Router-25,0.0267068+0.0031588+0.0014148,0.0312804,31.2804
Router-26,0.0267068+0.00310434+0.0014148,0.031226,31.226
,,,0
Internal Reports:,,,0
Total Number of Detected Flits:		58147 ( Header: 11631 ),,,0
,,,0
	 ,,,0
 	 at 4000,,,0
  	 ,,,0
power time ,,,0
,4000,,0
Router-0,0.0267068+0.00849271+0.000848896,0.0360484,36.0484
Router-1,0.0267068+0.00898561+0.000848898,0.0365413,36.5413
Router-2,0.0267068+0.00907483+0.000848899,0.0366306,36.6306
Router-3,0.0267068+0.00838251+0.000848896,0.0359382,35.9382
Router-4,0.0267068+0.0105517+0.00141481,0.0386733,38.6733
Router-5,0.0267068+0.00981846+0.00141481,0.0379401,37.9401
Router-6,0.0267068+0.0090577+0.00141481,0.0371793,37.1793
Router-7,0.0267068+0.0101846+0.00141481,0.0383062,38.3062
Router-8,0.0267068+0.0101765+0.00141481,0.0382982,38.2982
Router-9,0.0267068+0.00942456+0.00141481,0.0375462,37.5462
Router-10,0.0267068+0.00969532+0.00141481,0.037817,37.817
Router-11,0.0267068+0.00984831+0.00141481,0.0379699,37.9699
Router-12,0.0267068+0.00601079+0.0014148,0.0341324,34.1324
Router-13,0.0267068+0.00559456+0.0014148,0.0337162,33.7162
Router-14,0.0267068+0.00591687+0.0014148,0.0340385,34.0385
Router-15,0.0267068+0.00597208+0.0014148,0.0340937,34.0937
Router-16,0.0267068+0.0058053+0.0014148,0.0339269,33.9269
Router-17,0.0267068+0.0047914+0.0014148,0.032913,32.913
